ITA_ID,English_Term,Sanskrit_IAST
ITA-4.2.21,"Extrinsic, exogenous diseases",adhibhautikarogah
ITA-4.2.22,Traumatic physical injury,samghatabalapravrittarogah
ITA-4.2.23,Diseases caused by sharp instruments,shastrakritarogah
ITA-4.2.24,Diseases caused by wild animals,vyalakritarogah
ITA-4.2.25,Diseases beyond human control,adhidaivikarogah
ITA-4.2.26,Diseases caused by diurnal and seasonal variations,kalabalapravrittarogah
ITA-4.2.27,Diseases resulting from untimely climatic changes or sudden variations,vyapannartukritarogah
ITA-4.2.28,Diseases resulting from regular climatic changes,avyapannartukritarogah
ITA-4.2.29,"Diseases occurring by chance, beyond human control",daivabalapravrittarogah
ITA-4.2.30,Disorders caused by natural disasters,vidyudashanikritarogah
ITA-4.2.31,Diseases caused by malevolent or negative spiritual entities,pishacadikritarogah
ITA-4.2.32,Contagious diseases,samsargajarogah
ITA-4.2.33,Idiopathic diseases,akasmikarogah
ITA-4.2.34,Conditions resulting from physiological variations or the ageing process,svabhavabalapravrittarogah
ITA-4.2.35,Natural diseases of timely occurrence,kalajarogah
ITA-4.2.36,Natural diseases of untimely occurrence,akalajarogah
ITA-4.2.37,Prognosis,sadhyasadhyata
ITA-4.2.38,Diseases that are treatable,sadhyarogah
ITA-4.2.39,Diseases that are easily treatable,sukhasadhyarogah
ITA-4.2.40,Diseases that are difficult to treat or cure,kricchrasadhyarogah
ITA-4.2.41,Diseases that are incurable,asadhyarogah
ITA-4.2.42,Diseases that can be palliated,yapyarogah
ITA-4.2.43,Diseases that are terminal,pratyakhyeyarogah
ITA-4.3.1,Disease assessment,rogapariksha
ITA-4.3.2.,Five diagnostic criteria,nidanapancakah
ITA-4.4.1,Etiology,nidanam; hetuh; nimittam; ayatanam karta; karanam; pratyayam; samutthanam
ITA-4.4.2,Two types of etiological factors,dvividhahetuh
ITA-4.4.3,Originating cause of disease,utpadakahetuh
ITA-4.4.4,Aggravating cause of disease,vyanjakahetuh
ITA-4.4.5,Extrinsic cause,bahyahetuh
ITA-4.4.6,Intrinsic cause,abhyantarahetuh
ITA-4.4.7,Somatic cause,sharirikahetuh
ITA-4.4.8,Psychological cause,manasikahetuh
ITA-4.4.9,Three types of etiological factors,trividhahetuh
ITA-4.4.10,Improper engagement of the senses,asatmyendriyarthasamyogah
ITA-4.4.11,Behaviour based on erroneous judgement,prajnaparadhah
ITA-4.4.12,"Course of development, transformation",parinamah
ITA-4.4.13,Vitiated dosha as a cause of disease,doshahetuh
ITA-4.4.14,Normal state of dosha in health,prakritadoshah
ITA-4.4.15,Abnormal dosha as a cause of disease,vaikritadoshah
ITA-4.4.16,Primary or independent disease,anubandhyah
ITA-4.4.17,Secondary or dependent disease,anubandhah
ITA-4.4.18,Displacement of dosha from its natural seat,ashayapakarshah
ITA-4.4.19,Causes which aggravate dosha,doshahetuh
ITA-4.4.20,Disease-specific causes,vyadhihetuh
ITA-4.4.21,Causes which aggravate dosha and disease-specific causes,ubhayahetuh
ITA-4.4.22,Four types of etiological factor,caturvidhahetuh
ITA-4.4.23,Proximate cause,sannikrishtahetuh
ITA-4.4.24,Distant etiological factor,viprakrishtahetuh
ITA-4.4.25,Mild yet potential causative factor,vyabhicarihetuh
ITA-4.4.26,Dominant causative factor,pradhanikahetuh
ITA-4.5.1,"Prodrome, premonitory symptoms",purvarupam
ITA-4.5.2,Classification of prodromes,purvarupabhedah
ITA-4.5.3,Specific prodrome,visheshapurvarupam
ITA-4.5.4,General prodrome,samanyapurvarupam
ITA-4.5.5,Signs and symptoms,"lingah, linga; akritih; lakshanam; cihnam; samsthanam; vyanjanam; rupam"
ITA-4.5.6,Differential diagnosis upheld by positive treatment response,upashayah
ITA-4.5.7,Types of therapeutic diagnosis,upashayabhedah
ITA-4.5.8,Antagonistic to etiology,hetuviparitah
ITA-4.5.9,Antagonistic to disease,vyadhiviparitah
ITA-4.5.10,Antagonistic to etiology and disease,hetuvyadhiviparitah
ITA-4.5.11,Treatment with interventions known to be cause of disease,viparitarthakari
ITA-4.5.12,Treatment with interventions similar to disease etiology,hetuviparitarthakari
ITA-4.5.13,Treatment with interventions usually considered to be disease-aggravating factors,vyadhiviparitarthakari
ITA-4.5.14,Treatment with interventions similar to disease etiology as well as diseaseaggravating factors,hetuvyadhiviparitarthakari
ITA-4.5.15,Differential diagnosis upheld by negative treatment response,anupashayah
ITA-4.5.16,Evolution or natural course of disease,"sampraptih, jatih, agatih"
ITA-4.5.17,Classification of pathogenesis,sampraptibhedah
ITA-4.5.18,Number of subtypes of pathogenesis,sankhyasampraptih
ITA-4.5.19,Significance-based pathogenesis,Pradhanyasampraptih
ITA-4.5.20,Classification-based pathogenesis,vidhisampraptih
ITA-4.5.21,Fraction-specific pathogenesis,vikalpasampraptih
ITA-4.5.22,Intensity-specific pathogenesis,balasampraptih
ITA-4.5.23,Time-specific pathogenesis,kalasampraptih
ITA-4.5.24,Complication,upadravah
ITA-4.5.25,Adverse event,vyapad
ITA-4.5.26,Patient-related adverse event,aturanimittajah
ITA-4.5.27,Physician-related adverse event,bhishannimittajah
ITA-4.5.28,Treatment-related adverse event,bheshajanimittajah
ITA-4.5.29,Sign or symptom of impending death,arishtalakshanam
ITA-4.6.1,Disease stage,rogavastha
ITA-4.6.2,"Ama, a state of incomplete digestion, transformation or metabolism","ama , amavastha"
ITA-4.6.3,"State of active digestion, and transformation of ama",pacyamanavastha
ITA-4.6.4,Ripened stage of dosha,pakvavastha
ITA-4.6.5,Transformative stage devoid of ama pathology,niramavastha
ITA-4.6.6,Stages of disease manifestation and management,kriyakalah/shatkriyakalah
ITA-4.6.7,Stage of a dosha increasing in its own location,sancayah
ITA-4.6.8,Stage of a dosha reaching the threshold,prakopah
ITA-4.6.9,Stage of a dosha spreading beyond its own location,prasarah
ITA-4.6.10,Stage of a dosha localizing outside its location,sthanasamshrayah
ITA-4.6.11,Stage of clinical manifestation of a disease,vyaktih
ITA-4.6.12,Stage of disease developing into subtypes or leading to complications,bhedah
ITA-4.7.1,Patient examination,rogipariksha
ITA-4.7.2,Standard threecomponent examination,"trividhapariksha (darshana, sparshana , prashna)"
ITA-4.7.3,Six ways of clinical examination,shadvidhapariksha
ITA-4.7.4,Eight methods of clinical examination,ashtasthanapariksha
ITA-4.7.5,Ten domains of clinical examination,dashavidhapariksha
ITA-4.8.1,Obstructive pathology,srotorodhah
ITA-4.8.2,Functional alteration of body channels,srotovaigunyam
ITA-4.8.3,Functional alteration of body channels,srotodushtihetuh
ITA-4.8.4,Types of body channel deformities,srotodushtiprakarah
ITA-4.8.5,Body channel dysfunction involving excess activity,atipravrittih
ITA-4.8.6,Body channel dysfunction involving obstruction,sangah
ITA-4.8.7,Body channel dysfunction involving displacement of contents,vimargagamanam
ITA-4.8.8,Body channel dysfunction involving bulging or growth,siragranthih
ITA-4.8.9,Coexistence of aggravated three dosha,sannipatah
ITA-4.8.10,"Group of diseases, comorbidity",roganikah
ITA-4.8.11,Disease pathogenesis and manifestation,rogadhishthanam
ITA-4.8.12,Vitiated dosha lying dormant,linadoshavastha
ITA-4.8.13,Displaced dosha,sthanantaragatadoshah
ITA-4.8.14,Correctly located dosha,sthanikadoshah
ITA-4.8.15,Disease symptoms in accord with dosha,prakritisamasamavetasannipatajarogah
ITA-4.8.16,Disease symptoms in discord with dosha,vikritivishamasamavetasannipatajarogah
ITA-4.8.17,"Normal state, normalcy",prakritih
ITA-4.8.18,Abnormal state,vikritih
ITA-4.8.19,Movement of dosha,doshagatih
ITA-4.8.20,Transit destinations of dosha,sancarasthanam
ITA-4.8.21,Shifting of dosha from gut to structual components,shakhagatih
ITA-4.8.22,Shifting of dosha,madhyamagatih
ITA-4.8.23,Dosha associated with ama,samadoshah
ITA-4.8.24,Dosha not associated with ama,niramadoshah
ITA-4.8.25,Inherent capacity of the body to resist diseases,vyadhikshamatvam
ITA-4.8.26,Inherent capacity of the body to resist diseases,vyadhibalavirodhitatvam
ITA-4.8.27,Inherent capacity of the body to resist diseases,vyadhyudpadapratibandhakatvam
ITA-4.8.28,Terminal disease,"anupakrama, pratyakhyeyaroga"
ITA-4.8.29,Comorbidity,vyadhisankarah
ITA-4.8.30,Pro-causative factor and disease,hetuvyadhiviparitarthakari
ITA-4.8.31,Mind as seat of disease,manodhishtanam
ITA-4.8.32,Disease caused exclusively by one dosha,nanatmajavikara
ITA-4.8.33,Disease caused by one or more dosha,samanyajavikarah
ITA-4.8.34,Disease caused by another disease,nidanarthakararoga
ITA-4.8.35,"Dependant, secondary disease",paratantra
ITA-4.8.36,Judgement of error,prajnaparadhah
ITA-4.8.37,Prodrome,purvarupa
ITA-4.8.38,Disease caused by more than one dosha,samsarga
ITA-4.8.39,Physical body as seat of disease,shariradhishtanam
ITA-4.8.40,Conditions amenable to surgery,shastrasadhya
ITA-4.8.41,Primary disorder,svatantra
ITA-4.8.42,Disease complication(s),upadravaroga
ITA-5.1.1,Disorder,vikarah
ITA-5.2.1,Derangement of dosha,doshavaishamyam
ITA-5.2.2,State of dosha,doshavastha
ITA-5.2.1.1,Accumulation of vata,vatasancayah
ITA-5.2.1.2,Aggravation of vata,vataprakopah/ vatavriddhilakshanam
ITA-5.2.1.3,Aggravation of life force,pranavatakopah
ITA-5.2.1.4,Aggravation of ascending vata,udanavatakopah
ITA-5.2.1.5,Aggravation of circulating vata,vyanavatakopah
ITA-5.2.1.6,Aggravation of kindling vata,samanavatakopah
ITA-5.2.1.7,Aggravation of descending vata,apanavatakopah
ITA-5.2.1.8,Spreading of vata,vataprasaranam
ITA-5.2.1.9,Diminution of vata,vatakshayah
ITA-5.2.1.10,Aggravation of vata in abdominal and thoracic cavity and organs in the cavity,koshthashritavatakopah
ITA-5.2.1.11,Aggravation of vata in rectum,gudasthitavatah
ITA-5.2.1.12,Aggravation of vata in stomach,amashayagatavatah
ITA-5.2.1.13,Aggravation of vata in colon,pakvashayagatavatah
ITA-5.2.1.14,Aggravation of vata in the sense organs,Jnanendriyagatavata/ shrotradindriyagatavatah
ITA-5.2.1.15,Aggravation of vata in skin,tvakgatavatah
ITA-5.2.1.16,Aggravation of vata in blood,asriggatavatah/ raktagatavatah
ITA-5.2.1.17,Aggravation of vata in muscle,mamsagatavatah
ITA-5.2.1.18,Aggravation of vata in fatty tissue,medogatavatah
ITA-5.2.1.19,Aggravation of vata in bone,asthigatavatah
ITA-5.2.1.20,Aggravation of vata in bone marrow,majjagatavatah
ITA-5.2.1.21,Aggravation of vata in seminal tissue,shukragatavatah
ITA-5.2.1.22,Aggravation of vata in tendons and ligaments.,snayugatavatah
ITA-5.2.1.23,Aggravation of vata in veins,siragatavatah
ITA-5.2.1.24,Aggravation of vata in joints,sandhigatavatah
ITA-5.2.1.25,Convulsions,akshepakah
ITA-5.2.1.26,Tonic convulsion,dandakah
ITA-5.2.1.27,Convulsive fit,apatantrakah
ITA-5.2.1.28,Orthotonus,apatanakah
ITA-5.2.1.29,Orthotonus with rod like stiffness,dandapatanakah
ITA-5.2.1.30,Opisthotonus,bahirayamah/ bahyayamah/ dhanuhstambhah
ITA-5.2.1.31,Hemiplegia,pakshaghatah/ pakshavadhah
ITA-5.2.1.32,Paraparesis,sarvangavatah/ sarvangarogah
ITA-5.2.1.33,Facial paralysis,arditah
ITA-5.2.1.34,Lockjaw; trismus,hanugrahah
ITA-5.2.1.35,Wry neck; torticollis,manyastambhah
ITA-5.2.1.36,Rigid tongue,jihvastambhah
ITA-5.2.1.37,Obstructed blood vessel,siragrahah
ITA-5.2.1.38,Sciatica,gridhrasi
ITA-5.2.1.39,Brachial neuralgia,vishvaci
ITA-5.2.1.40,Synovitis of the knee with effusion,kroshtukashirshah
ITA-5.2.1.41,Lameness,khanjah
ITA-5.2.1.42,Paraplegia,panguh
ITA-5.2.1.43,Kesari palsy,kalayakhanjah
ITA-5.2.1.44,Pain specific to heels,vatakhuddata/ vatakantakah
ITA-5.2.1.45,Burning feet,padadahah
ITA-5.2.1.46,Peripheral neuritis of the feet,padaharshah
ITA-5.2.1.47,Muscle wasting around shoulder joint,amsashoshah
ITA-5.2.1.48,Painful conditions of shoulder joints with severely affected or restricted movements,avabahukah
ITA-5.2.1.49,Dumbness,mukatvam
ITA-5.2.1.50,Nasal intonation of speech,minminah
ITA-5.2.1.51,Bladder pain radiating towards anus and penis,tuni
ITA-5.2.1.52,Proctalgia,pratituni
ITA-5.2.1.53,Constipation and abdominal distension,anahah/ adhmanam
ITA-5.2.1.54,Severe abdominal distension,pratyanahah/ pratyadhmanam
ITA-5.2.1.55,Globular swelling near the urinary bladder resembling benign prostatic enlargement,vatashthila
ITA-5.2.1.56,Morbid tremor,kampah/ vepathuh
ITA-5.2.1.57,Twisting pain in upper and lower limbs,khalli
ITA-5.2.1.58,Upward movement of vata,urdhvavatah
ITA-5.2.2.1,Derangement of pitta,pittavikarah
ITA-5.2.2.2,Morbid state of pitta,pittadoshavastha
ITA-5.2.2.3,Accumulation of pitta,pittasancayah
ITA-5.2.2.4,Aggravation of pitta,pittaprakopah/ pittavriddhi-lakshanam
ITA-5.2.2.5,Spreading of pitta,pittaprasarah
ITA-5.2.2.6,Diminution of pitta,pittakshayah
ITA-5.2.3.1,Morbid state of kapha,kaphadoshavastha
ITA-5.2.3.2,Accumulation of kapha,kaphasancayah
ITA-5.2.3.3,Aggravation of kapha,kaphaprakopah
ITA-5.2.3.4,Spreading of kapha,kaphaprasarah
ITA-5.2.3.5,Diminution of kapha,kaphakshayah
ITA-5.3.1,Derangement of structural components,dhatuvaishamyam
ITA-5.3.2,Derangement of primary circulating nutrient fluid,rasavaishamyam
ITA-5.3.3,Diminution of primary circulating nutrient fluid,rasakshayah
ITA-5.3.4,Aggravation or morbid increase of primary circulating nutrient fluid,rasavriddhih
ITA-5.3.5,Disproportion of blood,raktavaishamyam
ITA-5.3.6,Diminution of blood,raktakshayah
ITA-5.3.7,Morbid increase of blood,raktavriddhih
ITA-5.3.8,Blood vitiated by vata,vatikaraktadushtih
ITA-5.3.9,Blood vitiated by pitta,paittikaraktadushtih
ITA-5.3.10,Blood vitiated by kapha,shlaishmikaraktadushtih
ITA-5.3.11,Blood vitiated by tridosha,sannipatikaraktadushtih
ITA-5.3.12,Disproportion of muscle,mamsavaishamyam
ITA-5.3.13,Diminution of muscle,mamsakshayah
ITA-5.3.14,Excessive increase of muscle,mamsavriddhih
ITA-5.3.15,Disproportion of fat,medovaishamyam
ITA-5.3.16,Diminution of fat,medahkshayah
ITA-5.3.17,Morbid increase of fat,medovriddhih
ITA-5.3.18,Disproportion of bone,asthivaishamyam
ITA-5.3.19,Diminution of bone,asthikshayah
ITA-5.3.20,Morbid increase of bone,asthivriddhih
ITA-5.3.21,Disproportion of bone marrow,majjavaishamyam
ITA-5.3.22,Diminution of bone marrow,majjakshayah
ITA-5.3.23,Morbid increase of bone marrow,majjavriddhih
ITA-5.3.24,Disproportion of semen,shukravaishamyam
ITA-5.3.25,Diminution of semen,shukrakshayah
ITA-5.3.26,Morbid increase of semen,shukravriddhih
ITA-5.3.27,Disorders of menstrual flow,artavavaishamyam
ITA-5.3.28,Diminution of menstrual flow; or scanty menstruation,artavakshayah
ITA-5.3.29,Morbid increase of menstrual flow,artavavriddhih
ITA-5.3.30,Vitiation of breast milk,stanyavaishamyam
ITA-5.3.31,Diminution of breast milk,stanyakshayah
ITA-5.3.32,Morbid increase of breast milk,stanyavriddhih
ITA-5.3.33,Disproportion of ojas,ojovaishamyam
ITA-5.3.34,Diminution of ojas,ojakshayah
ITA-5.3.35,Dislodgement of ojas,ojovisramsah
ITA-5.3.36,Derangement of ojas,ojovyapat
ITA-5.3.37,Excess formation of ojas,ojovriddhih
ITA-5.4.1,Derangement of excretory products,malavaishamyam
ITA-5.4.2,Derangement of urine,mutravaishamyam
ITA-5.4.3,Diminution of urine,mutrakshayah
ITA-5.4.4,Morbid increase of urine,mutravriddhih
ITA-5.4.5,Derangement of faeces,purishavaishamyam
ITA-5.4.6,Diminution of faeces,purishakshayah
ITA-5.4.7,Morbid increase of faeces,purishavriddhih
ITA-5.4.8,"Excretory products associated with incomplete digestion, transformation or metabolism",samamalah
ITA-5.4.9,Derangement of sweat,svedavaishamyam
ITA-5.4.10,Diminution of sweat,svedakshayah
ITA-5.4.11,Morbid increase of sweat,svedavriddhih
ITA-5.4.12,Debris deposition at the root of the tongue,jihvamulagatamalah
ITA-5.5.1,Vitiation of channels,srotovaishamyam
ITA-5.5.2,Vitiation of channels carrying vital life force,pranavahasrotodushtih
ITA-5.5.3,Vitiation of channels carrying water,udakavahasrotodushtih
ITA-5.5.4,Vitiation of channels carrying food,annavahasrotodushtih
ITA-5.5.5,Vitiation of channels carrying primary product of digestion,rasavahasrotodushtih
ITA-5.5.6,Vitiation of channels carrying blood,raktavahasrotodushtih
ITA-5.5.7,Vitiation of channels carrying muscle,mamsavahasrotodushtih
ITA-5.5.8,Vitiation of channels carrying medas,medovahasrotodushtih
ITA-5.5.9,Vitiation of channels carrying bone,asthivahasrotodushtih
ITA-5.5.10,Vitiation of channels carrying bone marrow,majjavahasrotodushtih
ITA-5.5.11,Vitiation of channels carrying semen,shukravahasrotodushtih
ITA-5.5.12,Vitiation of channels carrying menstrual flow,artavavahasrotodushtih
ITA-5.5.13,Vitiation of channels carrying urine,mutravahasrotodushtih
ITA-5.5.14,Vitiation of channels carrying stools,purishavaha-srotodushti
ITA-5.5.15,Vitiation of channels carrying sweat,svedavahasrotodushtih
ITA-5.6.1,Fever,jvarah
ITA-5.6.2,Prodromal symptoms of fever,jvarapurvarupam
ITA-5.6.3,Fever due to vitiated vata Fever due to vitiated vata Fever due to vitiated vata,vatajvarah vatajvarah vatajvarah
ITA-5.6.4,Prodromal symptoms of fever due to vitiated vata,Vatikajvarapurvarupam
ITA-5.6.5,Fever due to vitiated pitta,paittikajvarah
ITA-5.6.6,Prodromal symptoms of fever due to vitiated pitta,paittikajvarapurvarupam
ITA-5.6.7,Fever due to vitiated kapha,kaphajajvarah
ITA-5.6.8,Prodromal symptoms of fever due to vitiated kapha,Kaphajvarapurvarupam
ITA-5.6.9,Fever due to vitiated kaphavata,kaphavatajajvarah
ITA-5.6.10,Fever due to vitiated vata and pitta,vatapittajajvarah
ITA-5.6.11,Fever due to vitiated kapha and pitta,kaphapittajajvarah
ITA-5.6.12,Fever due to vitiated tridosha,sannipatajajvarah
ITA-5.6.13,Fever due to external factors/reasons,agantujajvarah
ITA-5.6.14,"Intermittent fever, fever with no fixed course or pattern",vishamajvarah
ITA-5.6.15,Intermittent fever spiking twice daily,satatavishamajvarah
ITA-5.6.16,Continuous fever,santatavishamajvarah
ITA-5.6.17,Intermittent fever spiking once daily,anyedyushkavishamajvarah
ITA-5.6.18,Intermittent fever spiking every third day,tritiyakavishamajvarah
ITA-5.6.19,Intermittent fever recurring every third day due to predominance of kapha and pitta,kaphapittatritiyakajvarah
ITA-5.6.20,Intermittent fever recurring every third day due to predominance of vata and kapha,vatakaphatritiyakajvarah
ITA-5.6.21,Intermittent fever recurring every third day due to predominance of vata and pitta,vatapittatritiyakajvarah
ITA-5.6.22,Intermittent fever recurring every fourth day,caturthakavishamajvarah
ITA-5.6.23,Intermittent fever recurring every fourth day due to predominance of vata,vatajacaturthakajvarah
ITA-5.6.24,Intermittent fever recurring every fourth day due to predominance of pitta,pittajacaturthakajvarah
ITA-5.6.25,Intermittent fiver recurring every fourth day due to predominance of kapha,kaphajacaturthakajvarah
ITA-5.6.26,Intermittent fiver recurring every fourth day when fever persists for two days with one day remission,caturthakaviparyayavishamajvarah
ITA-5.6.27,Persistent low-grade fever due to vitiated vata and kapha,vatabalasakajvarah
ITA-5.6.28,Fever due to vitiated primaryproduct of digestion,rasadhatugatajvarah
ITA-5.6.29,Fever due to vitiated blood,raktadhatugatajvarah
ITA-5.6.30,Fever due to vitiated muscle,mamsadhatugatajvarah
ITA-5.6.31,Fever due to vitiated fat,medodhatugatajvarah
ITA-5.6.32,Fever due to vitiated bone,asthidhatugatajvarah
ITA-5.6.33,Fever due to vitiated bone marrow,majjadhatugatajvarah
ITA-5.6.34,Fever due to vitiated seminal tissue,shukradhatugatajvarah
ITA-5.6.35,"Fever in which dosha and symptoms are located in viscera, vulnerable locations, joints and connective tissue",antarvegajvarah
ITA-5.6.36,Fever in which dosha and symptoms are located in supportive tissues,bahirvegajvarah
ITA-5.6.37,"Fever due to ama, initial stage of fever, ama stage of fever",amajajvarah
ITA-5.6.38,"Intermediate stage of fever, phase between ama stage and post-ama stage of fever",pacyamanajvarah
ITA-5.7.1,Diarrhoea,atisara
ITA-5.7.2,Prodromal symptoms of diarrhoea,atisarapurvarupam
ITA-5.7.3,Diarrhoea due to vitiated vata,vataja-atisarah
ITA-5.7.4,Diarrhoea due to vitiated pitta,pittaja-atisarah
ITA-5.7.5,Diarrhoea due to vitiated kapha,kaphaja-atisarah
ITA-5.7.6,Diarrhoea due to ama,amatisarah
ITA-5.7.7,Diarrhoea due to vitiated blood,raktatisarah
ITA-5.8.1,Dysentery,pravahika
ITA-5.9.1,Chronic diarrhoea with malabsorption of nutrients,grahaniroga
ITA-5.9.2,Chronic diarrhoea with malabsorption of nutrients due to vitiated vata,vataja grahaniroga
ITA-5.9.3,Chronic diarrhoea with malabsorption of nutrients due to vitiated pitta,pittaja grahaniroga
ITA-5.9.4,Chronic diarrhoea with malabsorption of nutrients. due to vitiated kapha,kaphajagrahaniroga
ITA-5.9.5,Chronic diarrhoea with malabsorption of nutrients due to vitiated tridosha,sannipataja grahaniroga
ITA-5.10.1,Haemorrhoids,arshah
ITA-5.10.2,Haemorrhoids due to vitiated vata,vatajarshah
ITA-5.10.3,Haemorrhoids due to vitiated pitta,pittajarshah
ITA-5.10.4,Haemorrhoids due to vitiated kapha,kaphajarshah
ITA-5.10.5,Haemorrhoids due to vitiated blood,raktajarshah
ITA-5.10.6,Haemorrhoids due to vitiated tridosha,sannipatajarshah
ITA-5.10.7,Congenital haemorrhoids,sahajarshah
ITA-5.10.8,Haemorrhoids due to any two vitiated dosha,dvandvaja-arshah
ITA-5.11.1,"Subdued digestive, metabolic factors",mandagnih
ITA-5.11.2,"Excessive digestive, metabolic factors",atyagnih/ bhasmakah
ITA-5.11.3,"Irregular digestive, metabolic factors",vishamagnih
ITA-5.11.4,Indigestion,ajirnam
ITA-5.11.5,Indigestion due to vata,"vishtabdhajirnam, vatajajirnam"
ITA-5.11.6,Indigestion due to putrefaction of gastric juices,vidagdhajirnam/ pittajajirnam
ITA-5.11.7,"Indigestion due to sluggish gut motility, vitiation of kapha",amajirnam/ kaphajajirnam
ITA-5.11.8,Indigestion due to remnant of unabsorbable primary product of digestion),rasasheshajanya-ajirnam
ITA-5.11.9,"Indigestion, when food takes a full day to get digested",dinapaki-ajirnam
ITA-5.11.10,Indigestion recurring every day,prativasara-ajirnam
ITA-5.11.11,Intumescence of abdomen with constipation and flatus; delayed and obstructive digestive process,alasaka-ajirnam
ITA-5.12.1,"Acute, severe gastroenteritis",visucika
ITA-5.12.2,Complications of gastroenteritis,visucika-upadravah
ITA-5.13.1,External worm infestation,bahyajakrimih
ITA-5.13.2,Head lice infestation,yuka
ITA-5.13.3,Nit infestation,liksha
ITA-5.13.4,Internal worm infestation,abhyantara-krimih
ITA-5.13.5,Worm or parasite arising from vitiated kapha; residing in stomach and small intestine,kaphajakrimih
ITA-5.13.6,Worm or parasite arising from faeces; residing in large intestine,"purishajakrimih [kakerukah makerukah, lelihah sashulakah, sausuradah/ sausulakah]"
ITA-5.13.7,Worm formed in blood and affecting blood vessels,"shonitajakrimih/ raktajakrimih [keshadah, romadah/ lomadah, lomavidhvamsah, lomadvipah saurasah, audumbarah,]"
ITA-5.14.1,Anaemic syndrome,pandurogah
ITA-5.14.2,Anaemic syndrome due to vitiated vata,vatajapandurogah
ITA-5.14.3,Anaemic syndrome due to vitiated pitta,pittajapandurogah
ITA-5.14.4,Anaemic syndrome due to vitiated kapha,kaphajapandurogah
ITA-5.14.5,Anaemic syndrome due to vitiated tridosha,sannipatajapandurogah
ITA-5.14.6,Anaemic syndrome due to pica or dirt-eating,mridbhakshanajanya/ krimijapandurogah
ITA-5.15.1,Jaundice,kamala
ITA-5.15.2,Jaundice affecting predominantly the organs in the major inner cavity of the body,koshthashritakamala
ITA-5.15.3,Jaundice affecting body tissues such as blood and limbs,shakhashritakamala
ITA-5.15.4,"Advanced stage of jaundice with painful, swollen joints",kumbhakamala
ITA-5.15.5,Advanced stage of jaundice,halimakah (lodharah)
ITA-5.16.1,"Haemorrhage from external and internal orifices, bleeding disorders",raktapittam
ITA-5.16.2,Haemorrhage due to predominance of vata,vatajaraktapittam
ITA-5.16.3,Haemorrhage due to predominance of pitta,pittajaraktapittam
ITA-5.16.4,Haemorrhage due to predominance of kapha,kaphajaraktapittam
ITA-5.16.5,Haemorrhage due to vitiated tridosha,sannipatikaraktapittam
ITA-5.17.1,"Consumption disorder complex, diminution of structural components",rajayakshma
ITA-5.17.2,Consumption due to withholding of natural urges,vegarodhajarajayakshma
ITA-5.17.3,Consumption due to untimely food habit,vishamashanajarajayakshma
ITA-5.17.4,Consumption due to depletion of body elements,kshayajarajayakshma
ITA-5.17.5,Consumption due to excessive copulation,vyavayajanyarajayakshma
ITA-5.17.6,Consumption due to excessive grief,shokajanyarajayakshma
ITA-5.17.7,Consumption due to old age,vardhakyajanyarajayakshma/ jarashoshah
ITA-5.17.8,Consumption due to overexercise,vyayamajanyarajayakshma
ITA-5.17.9,Consumption due to excessive travel,adhvajanyarajayakshma
ITA-5.17.10,Consumption due to wounds,vranajanyarajayakshma
ITA-5.17.11,Consumption due to chest trauma,urahkshatajanyarajayakshma
ITA-5.18.1,Cough,kasah
ITA-5.18.2,Cough due to vitiated vata,vatajakasah
ITA-5.18.3,Cough due to vitiated pitta,pittajakasah
ITA-5.18.4,Cough due to vitiated kapha,kaphajakasah
ITA-5.18.5,Cough due to internal injury,kshatajakasah
ITA-5.18.6,Cough due to diminution of bodily tissues,kshayajakasah
ITA-5.19.1,Hiccup,hikka (hidhma)
ITA-5.19.2,Hiccup due to improper swallowing of food,annajahikka
ITA-5.19.3,Dual or successive hiccups,vyapetahikka/ yamalahikka
ITA-5.19.4,Mild or insignificant hiccups,kshudrahikka
ITA-5.19.5,Hiccup; arising from depth of stomach,gambhirahikka
ITA-5.19.6,Extremely powerful and noisy hiccups,mahatihikka
ITA-5.20.1,Dyspnoea,shvasah
ITA-5.20.2,Extremely strained and difficult breathing; generally in terminal illness,mahashvasah
ITA-5.20.3,Shallow breathing,urdhvashvasah
ITA-5.20.4,Split or noncontiguous (breathing),chinnashvasah
ITA-5.20.5,Bronchial asthma,tamakashvasah
ITA-5.20.6,Mild dyspnoea,kshudrashvasah
ITA-5.21.1,"Hoarse voice, altered voice",svarabhedah
ITA-5.21.2,"Hoarse voice, altered voice due to vitiated vata",vatajasvarabhedah
ITA-5.21.3,"Hoarse voice, altered voice due to vitiated pitta",pittajasvarabhedah
ITA-5.21.4,"Hoarse voice, altered voice due to vitiated kapha",kaphajasvarabhedah
ITA-5.21.5,"Hoarse voice, altered voice due to diminution of structural components.",kshayajasvarabhedah
ITA-5.21.6,"Hoarse voice, altered voice due to vitiated fat",medojasvarabhedah
ITA-5.22.1,Anorexia,arocakah
ITA-5.22.2,Anorexia due to vitiated vata,vataja-arocakah
ITA-5.22.3,Anorexia due to vitiated pitta,pittaja-arocakah
ITA-5.22.4,Anorexia due to vitiated kapha,kaphaja-arocakah
ITA-5.22.5,Anorexia due to vitiated tridosha,sannipataja-arocakah
ITA-5.22.6,Anorexia due to injury,abhighataja-arocakah
ITA-5.23.1,Vomiting,chardih
ITA-5.23.2,Vomiting due to vitiated vata,vatajachardih
ITA-5.23.3,Vomiting due to vitiated pitta,pittajachardih
